empresa;nome;endereco;bairro;cidade;estado;cep;latitude;longitude;data_extracao
petz;petz carrefour sao caetano;avenida do estado, 1750                                              - junto ao carrefour;fundacao;sao caetano do sul;SP;09550-400;;;08/10/2025
petz;petz carrefour tiete;av. morvan dias de figueiredo, 3177;vila guilherme;sao paulo;SP;02063-902;;;08/10/2025
petz;petz cascavel;avenida brasil, 4254;centro;cascavel;PR;85812-000;;;08/10/2025
petz;petz castelo;av. pres. tancredo neves, 3005;paqueta;belo horizonte;MG;30840-535;;;08/10/2025
petz;petz catuai londrina;rod. mabio goncalves palhano, 195                                              - em frente ao catuai shopping;gleba fazenda palhano;londrina;PR;86055-585;;;08/10/2025
petz;petz cavalhada;av. eduardo prado, 415;cavalhada;porto alegre;RS;91751-000;;;08/10/2025
petz;petz caxias do sul;av rubens bento alves, 8457;cinquentenario;caxias do sul;RS;95012-393;;;08/10/2025
petz;petz ceilandia;st. m-norte , q 1;taguatinga;brasilia;DF;72145-100;;;08/10/2025
petz;petz center minas;av. pastor anselmo silvestre, 1395 , 1495                                              - shopping center minas;dom joaquim;belo horizonte;MG;31170-678;;;08/10/2025
petz;petz center shopping uberlandia;av. joao naves de avila, 1331;tibery;uberlandia;MG;38405-140;;;08/10/2025
petz;petz cerro cora;rua cerro cora, 1950;vila romana;sao paulo;SP;05061-300;;;08/10/2025
petz;petz chapeco;av. fernando machado, 1001d;centro;chapeco;SC;89802-111;;;08/10/2025
petz;petz cidade jardim;av dos tajuras, 147                                              - 161;cidade jardim;sao paulo;SP;05670-000;;;08/10/2025
petz;petz congonhas;av. moreira guimaraes,  631                                               - 657;indianopolis;sao paulo;SP;04074-030;;;08/10/2025
petz;petz contagem;av. babita camargos, 1295                                              - loja 03;cidade industrial;contagem;MG;32210-180;;;08/10/2025
petz;petz contagem joao cesar;av. joao cesar de oliveira, 5750;funcionarios;contagem;MG;32040-000;;;08/10/2025
petz;petz continente;r. martinho boschetti, 2083;picadas do sul;sao jose;SC;88106-110;;;08/10/2025
petz;petz copacabana;av. nossa senhora de copacabana, 1246;copacabana;rio de janeiro;RJ;22070-012;;;08/10/2025
petz;petz cotia;rodovia raposo tavares km 21, 5650                                              - acesso tambem pela rua damasco;lageadinho;cotia;SP;06709-015;;;08/10/2025
petz;petz criciuma;av. centenario, 6323;prospera;criciuma;SC;88801-001;;;08/10/2025
petz;petz cristiano machado;av. cristiano machado, 10688;jardim guanabara;belo horizonte;MG;31742-005;;;08/10/2025
petz;petz diadema;av. fabio eduardo ramos esquivel, 1100;centro;diadema;SP;09920-578;;;08/10/2025
petz;petz diario de noticias;avenida diario de noticias, 1500;cristal;porto alegre;RS;90810-080;;;08/10/2025
petz;petz divinopolis;r. minas gerais, 640;centro;divinopolis;MG;35500-007;;;08/10/2025
petz;petz djalma batista;av. djalma batista, 3000;chapada;manaus;AM;69050-010;;;08/10/2025
petz;petz dom pedro;av. guilherme campos, 500                                              - shopping parque dom pedro;centro (pq dom pedro shopping);campinas;SP;13087-901;;;08/10/2025
petz;petz dourados;av. marcelino pires, 4226;jardim caramuru;dourados;MS;79830-000;;;08/10/2025
petz;petz edgar faco;av. gen. edgar faco, 848;vila arcadia;sao paulo;SP;02924-400;;;08/10/2025
petz;petz enseada;av. dom pedro i, s/n                                              - lote 1 e 2;enseada;guaruja;SP;11440-110;;;08/10/2025
petz;petz estacao goiania;avenida goias, 2151                                              - qd 21, lote. area compl. qd 2.;setor central;goiania;GO;74010-010;;;08/10/2025
petz;petz fernando correa;avenida fernando correa da costa, 1682;pico do amor;cuiaba;MT;78065-000;;;08/10/2025
petz;petz ferraz de vasconcelos;avenida brasil, 2015;vila romanopolis;ferraz de vasconcelos;SP;08529-310;;;08/10/2025
petz;petz florianopolis;rodovia jose carlos daux, 5500                                              - square sc corporate;saco grande;florianopolis;SC;88032-005;;;08/10/2025
petz;petz foz do iguacu;av. parana, 1314;regiao central;foz do iguacu;PR;85863-754;;;08/10/2025
petz;petz franca;av. dr. ismael alonso y alonso, 450;jardim veneza;franca;SP;14400-190;;;08/10/2025
petz;petz gama leste;sind qi 1 - pte. alta norte, s/n;gama;brasilia;DF;72445-010;;;08/10/2025
petz;petz gastao vidigal;av. dr. gastao vidigal, 1555;vila leopoldina;sao paulo;SP;05314-000;;;08/10/2025
petz;petz gilberto salomao;bl. f, shis qi 5 conjunto 16, 5;lago sul;brasilia;DF;71615-560;;;08/10/2025
petz;petz giovanni gronchi;av. giovanni gronchi, 3280;vila sonia;sao paulo;SP;05651-002;;;08/10/2025
petz;petz giovanni pirelli;rua giovanni  battista pirelli, 1645;vila homero thon;santo andre;SP;09111-340;;;08/10/2025
petz;petz governador valadares;av. brasil, 3611;centro;governador valadares;MG;35010-070;;;08/10/2025
petz;petz gravatai;av. dorival candido luz de oliveira, 900                                              - cohab c;centro;gravatai;RS;94030-000;;;08/10/2025
petz;petz guaruja;av. adhemar de barros, 1935;jardim helena maria;guaruja;SP;11430-003;;;08/10/2025
petz;petz guarulhos;av. guarulhos, 2598;ponte grande;guarulhos;SP;07022-020;;;08/10/2025
petz;petz guarulhos pimentas;estr. juscelino kubtischek de oliv., 4380;jardim albertina;guarulhos;SP;07252-000;;;08/10/2025
petz;petz hiper sales aracaju;av. augusto franco, 2500;ponto novo;aracaju;SE;49097-670;;;08/10/2025
petz;petz hortolandia;av. santana, 970;parque ortolandia;hortolandia;SP;13184-210;;;08/10/2025
petz;petz iguatemi esplanada;av.  gisele constantino, 1850                                              - shopping iguatemi esplanada;parque bela vista;votorantim;SP;18110-650;;;08/10/2025
petz;petz ilha do governador;estrada do galeao, 1770;jardim carioca;rio de janeiro;RJ;21931-524;;;08/10/2025
petz;petz indaiatuba;alameda filtros mann, 670                                               - polo shopping indaiatuba;jardim tropical;indaiatuba;SP;13344-580;;;08/10/2025
petz;petz independencia shopping;av. presidente itamar franco, 3600;cascatinha;juiz de fora;MG;36025-290;;;08/10/2025
petz;petz ipatinga;av claudio moura, 801;novo cruzeiro;ipatinga;MG;35164-840;;;08/10/2025
petz;petz ipiranga;av. presidente tancredo neves, 600;ipiranga;sao paulo;SP;04287-010;;;08/10/2025
petz;petz itaim;r. bandeira paulista, 982;itaim bibi;sao paulo;SP;04532-003;;;08/10/2025
petz;petz itajai;av. ver. abrahao joao francisco, 3400;ressacada;itajai;SC;88307-302;;;08/10/2025
petz;petz itanhaem;av. rui barbosa, 540;centro;itanhaem;SP;11740-000;;;08/10/2025
petz;petz itapecerica;estr. de itapecerica, 944;vila das belezas;sao paulo;SP;05835-003;;;08/10/2025
petz;petz itapetininga;av. peixoto gomide, 317;centro;itapetininga;SP;18200-160;;;08/10/2025
petz;petz itatiba;avenida marechal castelo branco, 55;jardim de lucca;itatiba;SP;13255-350;;;08/10/2025
petz;petz itu;av. dr. otaviano pereira mendes, 1254;liberdade;itu;SP;13301-000;;;08/10/2025
petz;petz jaboatao dos guararapes;av. ayrton senna da silva, 1485;piedade;jaboatao dos guararapes;PE;54420-700;;;08/10/2025
petz;petz jacu pessego;av jacu pessego , 4710;itaquera;sao paulo;SP;08215-115;;;08/10/2025
petz;petz jaguare;avenida corifeu de azevedo marques, 4529                                              - lado impar da corifeu;vila lageado;sao paulo;SP;05339-003;;;08/10/2025
petz;petz jardim botanico;r. jardim botanico, 733;lagoa;rio de janeiro;RJ;22470-051;;;08/10/2025
petz;petz jardim icarai;r. dr. paulo cesar, 249;santa rosa;niteroi;RJ;24240-000;;;08/10/2025
petz;petz jau;avenida doutor quinzinho , 51;chacara peccioli;jau;SP;17210-110;;;08/10/2025
petz;petz joao firmino;av. joao firmino, 342;assuncao;sao bernardo do campo;SP;09810-250;;;08/10/2025
petz;petz joao pessoa;av. senador ruy carneiro, 711;tambau;joao pessoa;PB;58039-180;;;08/10/2025
petz;petz joinville;r. dr. joao colin, 940;america;joinville;SC;89204-070;;;08/10/2025
petz;petz juiz de fora;avenida rio branco, 3820;alto dos passos;juiz de fora;MG;36026-500;;;08/10/2025
petz;petz jundiai;av. antonio frederico ozanan, 3003                                              - junto ao atacadista roldao;vila de vito;jundiai;SP;13215-010;;;08/10/2025
petz;petz jundiai anhanguera;av. dr. adilson rodrigues, 77;jundiai;jundiai;SP;13211-685;;;08/10/2025
petz;petz lauzane paulista;avenida direitos humanos, 1436;lauzane paulista;sao paulo;SP;02475-001;;;08/10/2025
petz;petz limao;av. otaviano alves de lima, 1480;limao;sao paulo;SP;02501-000;;;08/10/2025
petz;petz linha verde;av. caviuna, 548;atuba;curitiba;PR;82840-123;;;08/10/2025
