empresa;nome;logradouro;bairro;cidade;estado;regiao;cep;populacao;latitude;longitude;renda_domiciliar_per_capita;cidade_cod_ibge;data_extracao
petz;Petz Carlos Luz;Avenida Presidente Carlos Luz, 710;Caiçaras;Belo Horizonte;MG;Sudeste;31230-010;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Carrefour Anchieta;Av .Marginal Direita Anchieta, 3398;Jardim Maria Estela;São Paulo;SP;Sudeste;04246-900;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carrefour Imigrantes;"R. Ribeiro Lacerda, 940
                                             - Estacionamento G3 Carrefour";Bosque da Saúde;São Paulo;SP;Sudeste;04147-020;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carrefour Manilha;"R. Oliveira Botelho, 349
                                             - Dentro do Carrefour Manilha";Neves;São Gonçalo;RJ;Sudeste;24425-005;960652.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Carrefour Ribeirão Shopping;"Av Coronel Fernando Ferreira Leite, 1540
                                             - Ribeirao Shopping";Jardim Califórnia;Ribeirão Preto;SP;Sudeste;14026-020;728400.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carrefour São Caetano;"Avenida do Estado, 1750
                                             - junto ao Carrefour";Fundação;São Caetano do Sul;SP;Sudeste;09550-400;172109.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Carrefour Tietê;Av. Morvan Dias de Figueiredo, 3177;Vila Guilherme;São Paulo;SP;Sudeste;02063-902;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Cascavel;Avenida Brasil, 4254;Centro;Cascavel;PR;Sul;85812-000;364104.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Castelo;Av. Pres. Tancredo Neves, 3005;Paquetá;Belo Horizonte;MG;Sudeste;30840-535;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Catuai Londrina;"Rod. Mabio Gonçalves Palhano, 195
                                             - em frente ao Catuaí Shopping";Gleba Fazenda Palhano;Londrina;PR;Sul;86055-585;577318.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Cavalhada;Av. Eduardo Prado, 415;Cavalhada;Porto Alegre;RS;Sul;91751-000;1389322.0;;;2608.0;4300034.0;08/10/2025
petz;Petz Caxias do Sul;Av Rubens Bento Alves, 8457;Cinquentenário;Caxias do Sul;RS;Sul;95012-393;479256.0;;;2608.0;4300034.0;08/10/2025
petz;Petz Ceilândia;St. M-Norte , Q 1;Taguatinga;Brasília;DF;Centro-Oeste;72145-100;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Center Minas;"Av. Pastor Anselmo Silvestre, 1395 , 1495
                                             - Shopping Center Minas";Dom Joaquim;Belo Horizonte;MG;Sudeste;31170-678;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Center Shopping Uberlândia;Av. João Naves de Ávila, 1331;Tibery;Uberlândia;MG;Sudeste;38405-140;754954.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Cerro Corá;Rua Cerro Corá, 1950;Vila Romana;São Paulo;SP;Sudeste;05061-300;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Chapecó;Av. Fernando Machado, 1001D;Centro;Chapecó;SC;Sul;89802-111;275959.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Cidade Jardim;"Av dos Tajuras, 147
                                             - 161";Cidade Jardim;São Paulo;SP;Sudeste;05670-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Congonhas;"Av. Moreira Guimarães,  631 
                                             - 657";Indianópolis;São Paulo;SP;Sudeste;04074-030;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Contagem;"Av. Babita Camargos, 1295
                                             - Loja 03";Cidade Industrial;Contagem;MG;Sudeste;32210-180;649975.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Contagem João Cesar;Av. João César de Oliveira, 5750;Funcionários;Contagem;MG;Sudeste;32040-000;649975.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Continente;R. Martinho Boschetti, 2083;Picadas do Sul;São José;SC;Sul;88106-110;289949.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Copacabana;Av. Nossa Senhora de Copacabana, 1246;Copacabana;Rio de Janeiro;RJ;Sudeste;22070-012;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Cotia;"Rodovia Raposo Tavares KM 21, 5650
                                             - Acesso tambem pela Rua Damasco";Lageadinho;Cotia;SP;Sudeste;06709-015;287004.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Criciúma;Av. Centenário, 6323;Próspera;Criciúma;SC;Sul;88801-001;225281.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Cristiano Machado;Av. Cristiano Machado, 10688;Jardim Guanabara;Belo Horizonte;MG;Sudeste;31742-005;2416339.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Diadema;Av. Fábio Eduardo Ramos Esquivel, 1100;Centro;Diadema;SP;Sudeste;09920-578;404118.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Diário de Notícias;Avenida Diário de Notícias, 1500;Cristal;Porto Alegre;RS;Sul;90810-080;1389322.0;;;2608.0;4300034.0;08/10/2025
petz;Petz Divinópolis;R. Minas Gerais, 640;Centro;Divinópolis;MG;Sudeste;35500-007;242328.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Djalma Batista;Av. Djalma Batista, 3000;Chapada;Manaus;AM;Norte;69050-010;2279686.0;;;1238.0;1300029.0;08/10/2025
petz;Petz Dom Pedro;"Av. Guilherme Campos, 500
                                             - Shopping Parque Dom Pedro";Centro (Pq Dom Pedro Shopping);Campinas;SP;Sudeste;13087-901;1185977.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Dourados;Av. Marcelino Pires, 4226;Jardim Caramuru;Dourados;MS;Centro-Oeste;79830-000;260640.0;;;2169.0;5000203.0;08/10/2025
petz;Petz Edgar Facó;Av. Gen. Edgar Facó, 848;Vila Arcadia;São Paulo;SP;Sudeste;02924-400;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Enseada;"Av. Dom Pedro I, S/N
                                             - LOTE 1 E 2";ENSEADA;Guarujá;SP;Sudeste;11440-110;294973.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Estação Goiânia;"Avenida Goiás, 2151
                                             - QD 21, Lote. Area Compl. Qd 2.";Setor Central;Goiânia;GO;Centro-Oeste;74010-010;1494599.0;;;2098.0;5200050.0;08/10/2025
petz;Petz Fernando Corrêa;Avenida Fernando Corrêa da Costa, 1682;Pico do Amor;Cuiabá;MT;Centro-Oeste;78065-000;682932.0;;;2276.0;5100102.0;08/10/2025
petz;Petz Ferraz de Vasconcelos;Avenida Brasil, 2015;Vila Romanopolis;Ferraz de Vasconcelos;SP;Sudeste;08529-310;185622.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Florianópolis;"Rodovia José Carlos Daux, 5500
                                             - Square SC Corporate";Saco Grande;Florianópolis;SC;Sul;88032-005;576361.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Foz do Iguaçu;Av. Paraná, 1314;Região Central;Foz do Iguaçu;PR;Sul;85863-754;295500.0;;;2482.0;4100103.0;08/10/2025
petz;Petz Franca;Av. Dr. Ismael Alonso Y Alonso, 450;Jardim Veneza;Franca;SP;Sudeste;14400-190;364331.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Gama Leste;SIND QI 1 - Pte. Alta Norte, S/N;Gama;Brasília;DF;Centro-Oeste;72445-010;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Gastão Vidigal;Av. Dr. Gastão Vidigal, 1555;Vila Leopoldina;São Paulo;SP;Sudeste;05314-000;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Gilberto Salomão;BL. F, Shis Qi 5 Conjunto 16, 5;Lago Sul;Brasília;DF;Centro-Oeste;71615-560;2982818.0;;;3444.0;5300108.0;08/10/2025
petz;Petz Giovanni Gronchi;Av. Giovanni Gronchi, 3280;Vila Sonia;São Paulo;SP;Sudeste;05651-002;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Giovanni Pirelli;Rua Giovanni  Battista Pirelli, 1645;Vila Homero Thon;Santo André;SP;Sudeste;09111-340;778711.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Governador Valadares;Av. Brasil, 3611;Centro;Governador Valadares;MG;Sudeste;35010-070;266649.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Gravataí;"Av. Dorival Candido Luz de Oliveira, 900
                                             - Cohab C";Centro;Gravataí;RS;Sul;94030-000;275294.0;;;2608.0;4300034.0;08/10/2025
petz;Petz Guarujá;Av. Adhemar de Barros, 1935;Jardim Helena Maria;Guarujá;SP;Sudeste;11430-003;294973.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Guarulhos;Av. Guarulhos, 2598;Ponte Grande;Guarulhos;SP;Sudeste;07022-020;1345364.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Guarulhos Pimentas;Estr. Juscelino Kubtischek de Oliv., 4380;Jardim Albertina;Guarulhos;SP;Sudeste;07252-000;1345364.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Hiper Sales Aracaju;Av. Augusto Franco, 2500;Ponto Novo;Aracaju;SE;Nordeste;49097-670;628849.0;;;1473.0;2800100.0;08/10/2025
petz;Petz Hortolândia;Av. Santana, 970;Parque Ortolândia;Hortolândia;SP;Sudeste;13184-210;247331.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Iguatemi Esplanada;"Av.  Gisele Constantino, 1850
                                             - Shopping Iguatemi Esplanada";Parque Bela Vista;Votorantim;SP;Sudeste;18110-650;132849.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Ilha do Governador;Estrada do Galeão, 1770;Jardim Carioca;Rio de Janeiro;RJ;Sudeste;21931-524;6729894.0;;;2490.0;3300100.0;08/10/2025
petz;Petz Indaiatuba;"Alameda Filtros Mann, 670 
                                             - Polo Shopping Indaiatuba";Jardim Tropical;Indaiatuba;SP;Sudeste;13344-580;267796.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Independência Shopping;Av. Presidente Itamar Franco, 3600;Cascatinha;Juiz de Fora;MG;Sudeste;36025-290;565764.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Ipatinga;Av Claudio Moura, 801;Novo Cruzeiro;Ipatinga;MG;Sudeste;35164-840;235445.0;;;2001.0;3100104.0;08/10/2025
petz;Petz Ipiranga;Av. Presidente Tancredo Neves, 600;Ipiranga;São Paulo;SP;Sudeste;04287-010;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Itaim;R. Bandeira Paulista, 982;Itaim Bibi;São Paulo;SP;Sudeste;04532-003;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Itajaí;Av. Ver. Abrahão João Francisco, 3400;Ressacada;Itajaí;SC;Sul;88307-302;287289.0;;;2601.0;4200051.0;08/10/2025
petz;Petz Itanhaém;Av. Rui Barbosa, 540;Centro;Itanhaém;SP;Sudeste;11740-000;117435.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Itapecerica;Estr. de Itapecerica, 944;Vila das Belezas;São Paulo;SP;Sudeste;05835-003;11895578.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Itapetininga;Av. Peixoto Gomide, 317;Centro;Itapetininga;SP;Sudeste;18200-160;163774.0;;;2662.0;3500105.0;08/10/2025
petz;Petz Itatiba;Avenida Marechal Castelo Branco, 55;Jardim de Lucca;Itatiba;SP;Sudeste;13255-350;126403.0;;;2662.0;3500105.0;08/10/2025
